title,company,location,count,Job,JobType
Data Scientist,Valassis Digital,"Morrisville, NC",1,Job_1,Junior
Data Scientist,Seen by Indeed,"Chicago, IL",1,Job_2,Junior
Data Scientist,"OptivityX,LLC","Conshohocken, PA",1,Job_3,Junior
Data Scientist,Central Intelligence Agency,"Washington, DC",1,Job_4,Junior
Data Scientist,Jar House,"Atlanta, GA",1,Job_5,Junior
Data Scientist,red violet,"Seattle, WA",1,Job_6,Junior
Data Scientist,Echo Global Logistics,"Chicago, IL",1,Job_7,Junior
Data Scientist - Entry Level,Numerdox,"Sacramento, CA",1,Job_8,Entry
Entry Level - Associate Data Scientist,IBM,NA,1,Job_9,Entry
Data Scientist (Jr),Numero Data LLC,"Herndon, VA",1,Job_10,Junior
Data Scientist,Skylight,NA,1,Job_11,Junior
Entry Level Data Scientist,IBM,NA,1,Job_12,Entry
Data Scientist - Santa Clara/Charlotte,LeanTaaS,"Charlotte, NC",1,Job_13,Junior
Data Scientist,Cincinnati Reds,"Cincinnati, OH",1,Job_14,Junior
Junior Data Scientist - New York City,IBM,"New York, NY",1,Job_15,Junior
AML Data Scientist,Bank of America,"Charlotte, NC",1,Job_16,Junior
2020 Intern - Data Scientist Intern/Coop (EO&S),IBM,"Research Triangle Park, NC",1,Job_17,Entry
Data Scientist,BestReviews,"San Francisco, CA",1,Job_18,Junior
Data Scientist,Capital Lighting Fixture Company,"Flowery Branch, GA",1,Job_19,Junior
Data Scientist 1,Oracle,NA,1,Job_20,Junior
Data Scientist,1Thread,NA,1,Job_21,Junior
Data Scientist - Virtual,BCD Travel Corporate,"Atlanta, GA",1,Job_22,Junior
Data Scientist I,Bank of America,"Charlotte, NC",1,Job_23,Junior
Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",1,Job_24,Junior
Data Scientist,Degreed,NA,1,Job_25,Junior
Data Scientist,Digitalogy,"New York, NY",1,Job_26,Junior
Data Scientist I,LexisNexis,"Raleigh, NC",1,Job_27,Junior
Data Scientist,Yang2020,"New York, NY",1,Job_28,Junior
"Data Scientist, Engineering",Google,"San Francisco, CA",1,Job_29,Junior
Junior Data Scientist - R / Python - Data Mining / Statistic...,REPAY,"Atlanta, GA",1,Job_30,Junior
