,title,company,location,count,summary,link,uniqueid
1,Data Scientist,Valassis Digital,"Morrisville, NC",1,            Data Scientist – Machine Learning & Real-Time Decision Processing. Building new products with applied AI and bring them to market. On any given day you’ll be….,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCtOQFBkQNFLW86JI2n3g743iSrihE9F06fLrjoo2w2Mcs0HBTxU74zD7uAuWUoQOlTOnyOTdDT5zjerrOGGTQmkS8pP6Vct9GvPXz5rorBblZDWKr2xrmEDLrBQZgFVldDN6JU5D0ZFb0-Q73AAZhiDshQy4yonby_RyKMmvMI7-MF3c7PJ8S5RCHcT9jB1huUMkoXqMu4rVLC9NIqb75DDrjzXVKhQ69yovqJPbfdGjw6aVcg9WF7rGfb4HAUZST1nc_9LqNinmv8jE35KRUNMaV2nX_XZbR3YxMFynlru9p-jO2IrEHE4LZKmN6ka8dccCdWod4fIKkU7rCXjHp1CA7R--YTq0of5l0v5iv8sw_GpDX9kM5qrU8arZ-qFZNGRctLPD_UFik8nWzXYlmfWyCEy2LB6c0TderwQ1Ab97_On05oCUP4_5UymgMKE0iv4ypPLAPvhmseiT6fo-tm_-7krvJhmDdVB2Vd5GlBIBG9HGPfQrM&p=0&fvj=0&vjs=3,cd2e3c0e8858463a72648af0e6804ab0
2,Data Scientist,Seen by Indeed,"Chicago, IL",1,"            Get matched – Companies apply to you with opportunities that reflect your role, location and salary specifications. Get matched with top tech companies on Seen!",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZz6G2ZVf9e4MK_H5xrDYyl4Wvt9iFPr0dwa-PGvIKeS_IBkZz1se8As_eo66dNcugH_-3dQAq5orzUP4AfaBF8bNf_-lF_jakSe-fzSZkFWgETXs8BO1F03B7v-rh8evm0dOS2a8BO0bVjCtz6jlnhnokK6VxWxJnkTHxQDQd_kb8ODXfqzNq4S-2G2KPmtML8T-c-2Ol58-vMewGj1_Gq1QG1hGCRjvdO_FORYDulxDmYnpkiv3Y8ausklInKjtmTd5k7sXOWN0_jy1YBxB0H9kJ0Dky1_ELyQAEgcrg-qEUnmjBMU1y6cttQ1ZMVWRV2x03x_G2oanlceWfaAxgg1jrgf7sOH6xo4ziazA5ZBmCk-Yh_SjxGmfCnLxnIwjbmwlLCoBfofffpYXeN55V3JXxcQO0YuWoC-HkApjT7SJnoshCUu6sPHh1aIuGiPs4cja4JhcOa0Gz4wkfj38lT3pqpyI-cY4IuSrM2U_cnGtGvrfQIPQ3Bwj3DmZunZwpw==&p=1&fvj=1&vjs=3,22f9b319cca5bdbf721184e539a79cf8
3,Data Scientist,"OptivityX,LLC","Conshohocken, PA",1,"            Professional experience with data science projects, building algorithms and working through the analytics life cycle.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7k24lLC5ROXcpLmsL7XxHKhmd7RJZcQyzOFQAFc0mO07AFi-_qh6VMTFRZYTEo_pRZDIXhj-A9dhZisPPMRq1ipYhnwVxbPZB8moGMEUJ_2gbjIg48XOP3utJgum7soh6ryfQeFpBbbt-AdHTGP2IoedfzHqeNFxiuHt9_DmIsKxgrO1fQ3GoqYx4aRMxKbUGMSqwGoWMDabZtofBwUFqcnLZHFN3C8pjUTsD7idyE48znQeOD7EFXDQY3N95iVJdHxlrVZ_WyOBkxSOoUrFAeotTrj7hQjahVVM7eBY8T_wvYELDKvXqbDjJk_2ngPGsep3QslgfYTkB_N8Xerd_dvm6pcnlTLrLELIZrz16uXw_2udKaSDPvjujob35QUjvcYwdLTSjKSbDX-ha87V0yh3kYn061M8=&p=2&fvj=1&vjs=3,5ffc5a752a92af61a01abba491e4f558
4,Data Scientist,Central Intelligence Agency,"Washington, DC",1,"            Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF-trXmOgtyCwioKtrEl8yaVFL4BmZPgj5ekSBDDCZjZycesTIQYxFSJWWs_8HUdDB9hwnbzKrEDmqNEQWLfwRG9GenFiLzX9NjSKXd29GoJou1coCM7ZGg7IScmmdEe74e89VIqFXFHWHtf8Q26zuXic1Hj6-hvrfahb5H9R3nfVA0wZRyaQi-xXgfIhom6UtK_1A3AbKV2X-nR8uzXXu-lRzODi9DULnAV2PULj9QcJA1s1_nmdoQCcCInCvTkslolV1RjzqDzkxSF2HB1KGvqzf566TDyAvhKiimIedvz_YMXWWRnQFE9J1IDPuoHulVh_gR8Jf-C_1LSu6wgZSHVoHxzalElrGt7TN4RHTwr9nog9DC_WdPsA82EQ8qfhL3E3nl5z02f9YYtA4bSE1Ofwy6VvheIPqqU8AO4X1S_nbEmDsiUnII9IT2UiiFsE=&p=3&fvj=0&vjs=3,28f43c6def4f14a9b77e9d5b4990f156
5,Data Scientist,Jar House,"Atlanta, GA",1,            F i n e r P r i n t: Experience in developing and evaluating machine learning models. Health Benefits- We have you covered from your head to your toes with…,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AE8bVi0RtR35Rvy-vaXsqBXG7RFkZayexUxYBuZyDr4dj-DfHO8HeIoQz78pwGGT1tpXjGYNMtwqsfT8NBs4dWfhDsvCXqZ-uQw5VkmP5uCqk2fLYm6odC8q-QIskOInFzG6osjHxFI49d0WSh3SPnrGgOYIYm1GAzDP9XlX_7dwqp358pAS9BhWHfLAj0H_C3RhE3kIVjrj3wKUBAdHwF8b67JlVcooRPg23wNLqmdGjp-HDWhMGiYJGslhdbukcMnM7o2ZWPdX0aO31LfeZwVNlOxtVtT1UpYbugFvivylSca7KAw1PN1Abi2Dj-G-MyK73zUc7PiZz1tccqeGObBu_s5ZJcKA-ZHEHmagx4f4WhC6l-HZDDW9JKfMZSuf81kxsP-l7_DhF4w9hCOYkc9-0k2h9Xk2QYQyhy5av8gSU22Tkpnbpx2M956N6a_dwx1Gk42kZe5w0e-cuEeRXgGKSsrSdXg1wgHztxvKEv1-eP5-9nzS8g5ly0pAj7dwM=&p=4&fvj=0&vjs=3,4e63632c57291bbf752905e4d54aaccb
6,Data Scientist,red violet,"Seattle, WA",1,"            Degree in Computer Science, Machine Learning, Math, Statistics, Physics, or related field. Experience working with large data sets for data mining, analytics,…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dw7IZODvRTZYzYpHVHP6PZtVPCAxEMe5-VnKVAxg-L-Zxcl0xVmBpAk_JhjVfGnPgg7JJi-W5BXBwWahcvhkkSN9lk_K2eudnLHaOFvhl2Y3Ol85V-jIUGwtAtwgE5SOBWZ1_vdeZ2ZWCer76n8uqew1vQH6nvr_N_iflEFAch_gjzNV-eZEZ-Ski2sidYiFZB6dF7qJLGmSIMVL8H6C2t-SxmXb3QEK5N_ZG_1gRH-tMdAWyGFkVJk87QGVM0ZXJAqwdIPczl3zS5miEdFaJPJ-xmqMP_xEmv0MoHEBQGtqOuQx_NOz9Z1_bMDXWJw5JiByZshOGPK0J1L-4563qlhubxyQmMvsik11q5_S4O9ckSsrTZo973uvsquE1gG8rs6Ri0KVEScsM6Ll84yteewNdqWpav0HJSI74eeOmqhQ==&p=5&fvj=1&vjs=3,5da6a16e9ab4d720b9905d201dc6c3f1
7,Data Scientist,Echo Global Logistics,"Chicago, IL",1,"            The Data Scientist will work extensively with RDBMS and NoSQL graphs to wrangle operational data, then leverage those data via machine learning, predictive…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTjlGj5JvLfH__h7ZRGeXDIcGXy_3l5WUsOynPPMXwbyyfwjCE-JkprBafoeNqBCVZcrou8Xb9n27ivxJiqwPLuoFpRxIlIzoe_mqh9hZ8kE3y-rnmlNU2YG7U7dYIz5ZCBmlAxmx34tii82lQFZ_g0bt9aj8vOBeEsCQfQ4UGEZ6sJG9WWs2xfieVsk7LRrHD4t1-Zm95KkWORV8Zp-DML4eHkUX6NK1gbIr8fz874GXbEz2uNgZx9at7z3OoZIklfVc086sD_jJGTvpOc-8RhI3einqJWdmpWb9uH6T5JMlU2K4NIUPWY8INHoWzR2G43eFwnA-H0BEMECSBpL8AZyoEhyldSoCz5d8TnqGs2qRk7txVuie_DpyPlKW05vE=&p=6&fvj=0&vjs=3,dd436e0afe7b4770fd038277eca9730f
8,Data Scientist - Entry Level,Numerdox,"Sacramento, CA",1,"            Bachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math). Experience in R and/or Python is preferred.",https://www.indeed.com/rc/clk?jk=21091c4562d65586&fccid=dd616958bd9ddc12&vjs=3,d6e6617badcd59167a658d6d50796d78
9,Entry Level - Associate Data Scientist,IBM,NA,1,"            Incorporate a variety of statistical and machine learning techniques in your projects. Work in an Agile, collaborative environment, partnering with other…",https://www.indeed.com/rc/clk?jk=1e686166d30fd118&fccid=de71a49b535e21cb&vjs=3,00bbbfa3e9704af63117468c5d4f48f5
10,Data Scientist (Jr),Numero Data LLC,"Herndon, VA",1,"            Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods.",https://www.indeed.com/company/Numero-Data-LLC/jobs/Data-Scientist-3114bce34c63efbc?fccid=e2b02ba1480369a4&vjs=3,42f780b6ba9fd920a3965043c99f0378
